time,open,high,low,close,volume
1759336791,1.39448,1.39465,1.39442,1.39456,339
1759337009,1.39448,1.39465,1.39442,1.39456,339
1759337554,1.39448,1.39465,1.39442,1.39456,339
1759337661,1.39448,1.39465,1.39442,1.39456,339
1759338002,1.39448,1.39465,1.39442,1.39456,339
1759342356,1.39448,1.39465,1.39442,1.39456,339
1759343147,1.39448,1.39465,1.39442,1.39456,339
1759343348,1.39448,1.39465,1.39442,1.39456,339
1759343516,1.39448,1.39465,1.39442,1.39456,339
1759363475,1.39448,1.39465,1.39442,1.39456,339
1759363720,1.39448,1.39465,1.39442,1.39456,339
1759363968,1.39448,1.39465,1.39442,1.39456,339
1759364086,1.39448,1.39465,1.39442,1.39456,339
