,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,147.61695,147.63726,47.73813,-0.02031,0.0,0.0,0.0,0.0
error,Invalid payload format.,1760418578.3910162
error,Invalid payload format.,1760418581.1116881
error,Invalid payload format.,1760418586.12583
error,Invalid payload format.,1760418591.118588
error,Invalid payload format.,1760418596.1235907
error,Invalid payload format.,1760418601.1265447
error,Invalid payload format.,1760418606.123608
error,Invalid payload format.,1760418611.1519094
error,Invalid payload format.,1760418616.1318307
error,Invalid payload format.,1760418621.1411808
error,Invalid payload format.,1760418626.139205
error,Invalid payload format.,1760418631.1343164
error,Invalid payload format.,1760418636.1451883
error,Invalid payload format.,1760418648.9135888
error,Invalid payload format.,1760418653.893072
error,Invalid payload format.,1760418658.9143248
error,Invalid payload format.,1760418663.9412377
error,Invalid payload format.,1760418668.9713664
error,Invalid payload format.,1760418673.9706554
error,Invalid payload format.,1760418678.9953618
error,Invalid payload format.,1760418684.0034175
error,Invalid payload format.,1760418688.9916852
error,Invalid payload format.,1760418694.0125916
error,Invalid payload format.,1760418699.0387409
error,Invalid payload format.,1760418704.0590644
error,Invalid payload format.,1760418709.0567923
error,Invalid payload format.,1760418714.0513713
error,Invalid payload format.,1760418719.0326104
error,Invalid payload format.,1760418724.0267913
error,Invalid payload format.,1760418729.0511255
error,Invalid payload format.,1760418734.0839777
error,Invalid payload format.,1760418739.1103437
error,Invalid payload format.,1760418744.0650601
error,Invalid payload format.,1760418749.066145
error,Invalid payload format.,1760418754.0507207
error,Invalid payload format.,1760418759.08523
error,Invalid payload format.,1760418764.0755615
error,Invalid payload format.,1760418769.057881
error,Invalid payload format.,1760418774.0726151
error,Invalid payload format.,1760418779.0910678
error,Invalid payload format.,1760418784.1030238
error,Invalid payload format.,1760418789.0969896
error,Invalid payload format.,1760418794.1120403
error,Invalid payload format.,1760418799.1747873
error,Invalid payload format.,1760418804.1522536
error,Invalid payload format.,1760418809.1521237
error,Invalid payload format.,1760418814.1611693
error,Invalid payload format.,1760418819.1617405
error,Invalid payload format.,1760418824.1480186
error,Invalid payload format.,1760418829.162246
error,Invalid payload format.,1760418834.2010384
error,Invalid payload format.,1760418839.0996974
error,Invalid payload format.,1760418844.1527364
error,Invalid payload format.,1760418849.1375103
error,Invalid payload format.,1760418854.1736658
error,Invalid payload format.,1760418859.1986852
error,Invalid payload format.,1760418864.163295
error,Invalid payload format.,1760418869.247367
error,Invalid payload format.,1760418874.3537312
error,Invalid payload format.,1760418879.2751076
error,Invalid payload format.,1760418884.2429495
error,Invalid payload format.,1760418889.23004
error,Invalid payload format.,1760418894.226975
error,Invalid payload format.,1760418899.2619653
error,Invalid payload format.,1760418904.1937351
error,Invalid payload format.,1760418909.2771559
error,Invalid payload format.,1760418914.2612045
error,Invalid payload format.,1760418919.301325
error,Invalid payload format.,1760418924.2622585
error,Invalid payload format.,1760418929.249761
error,Invalid payload format.,1760418934.258449
error,Invalid payload format.,1760418939.3851721
error,Invalid payload format.,1760418944.2503788
error,Invalid payload format.,1760418949.3951833
error,Invalid payload format.,1760418954.291039
error,Invalid payload format.,1760418959.36019
error,Invalid payload format.,1760418964.3538969
error,Invalid payload format.,1760418969.366019
error,Invalid payload format.,1760418974.3236835
error,Invalid payload format.,1760418979.3791122
error,Invalid payload format.,1760418984.3266695
error,Invalid payload format.,1760418989.378815
error,Invalid payload format.,1760418994.3893614
error,Invalid payload format.,1760418999.324801
error,Invalid payload format.,1760419005.8903842
error,Invalid payload format.,1760419011.0714073
error,Invalid payload format.,1760419014.2567143
error,Invalid payload format.,1760419019.3807778
error,Invalid payload format.,1760419024.3880115
error,Invalid payload format.,1760419029.3892183
error,Invalid payload format.,1760419034.380275
error,Invalid payload format.,1760419051.365905
error,Invalid payload format.,1760419054.1795046
error,Invalid payload format.,1760419059.179609
error,Invalid payload format.,1760419064.1805005
error,Invalid payload format.,1760419069.1890452
error,Invalid payload format.,1760419074.1915252
error,Invalid payload format.,1760419079.1945293
error,Invalid payload format.,1760419090.9682443
error,Invalid payload format.,1760419095.9895287
error,Invalid payload format.,1760419100.9914467
error,Invalid payload format.,1760419105.9864554
error,Invalid payload format.,1760419110.99482
error,Invalid payload format.,1760419115.9833608
error,Invalid payload format.,1760419120.9941308
error,Invalid payload format.,1760419125.9795702
error,Invalid payload format.,1760419130.996415
error,Invalid payload format.,1760419136.0060258
error,Invalid payload format.,1760419141.0318105
error,Invalid payload format.,1760419146.0128634
error,Invalid payload format.,1760419151.0173893
error,Invalid payload format.,1760419156.0457733
error,Invalid payload format.,1760419161.0482695
error,Invalid payload format.,1760419166.0915554
error,Invalid payload format.,1760419171.078477
error,Invalid payload format.,1760419176.111095
error,Invalid payload format.,1760419181.1452346
error,Invalid payload format.,1760419186.1548324
error,Invalid payload format.,1760419191.1318548
error,Invalid payload format.,1760419196.1824737
error,Invalid payload format.,1760419201.179903
error,Invalid payload format.,1760419206.1850321
error,Invalid payload format.,1760419211.1822507
error,Invalid payload format.,1760419216.5495322
error,Invalid payload format.,1760419221.1880755
error,Invalid payload format.,1760419226.2051973
error,Invalid payload format.,1760419231.5622535
error,Invalid payload format.,1760419236.2176383
error,Invalid payload format.,1760419241.2456114
error,Invalid payload format.,1760419246.2668774
error,Invalid payload format.,1760419251.2614033
error,Invalid payload format.,1760419257.0912359
error,Invalid payload format.,1760419261.2468312
error,Invalid payload format.,1760419266.2992914
error,Invalid payload format.,1760419271.2981887
error,Invalid payload format.,1760419276.2759821
error,Invalid payload format.,1760419281.4214153
