timestamp,open,close,high,low,volume
2025-05-13 01:27:15,1627554600.0,1.1857,1.1857,1.1857,1.1857
2025-05-13 01:27:15,1627556400.0,1.18525,1.18525,1.18525,1.18525
2025-05-13 01:27:15,1627558200.0,1.18692,1.18692,1.18692,1.18692
2025-05-13 01:27:16,1627560000.0,1.18683,1.18683,1.18683,1.18683
2025-05-13 01:27:16,1627561800.0,1.18714,1.18714,1.18714,1.18714
2025-05-13 01:27:16,1627563600.0,1.18767,1.18767,1.18767,1.18767
2025-05-13 01:27:16,1627565400.0,1.18747,1.18747,1.18747,1.18747
2025-05-13 01:27:16,1627567200.0,1.18743,1.18743,1.18743,1.18743
2025-05-13 01:27:16,1627569000.0,1.18769,1.18769,1.18769,1.18769
2025-05-13 01:27:16,1627570800.0,1.18755,1.18755,1.18755,1.18755
2025-05-13 01:27:17,1627572600.0,1.18765,1.18765,1.18765,1.18765
2025-05-13 01:27:17,1627574400.0,1.18718,1.18718,1.18718,1.18718
2025-05-13 01:27:17,1627576200.0,1.18724,1.18724,1.18724,1.18724
2025-05-13 01:27:17,1627578000.0,1.18842,1.18842,1.18842,1.18842
2025-05-13 01:27:17,1627579800.0,1.18795,1.18795,1.18795,1.18795
2025-05-13 01:27:17,1627581600.0,1.18847,1.18847,1.18847,1.18847
2025-05-13 01:27:18,1627583400.0,1.18859,1.18859,1.18859,1.18859
2025-05-13 01:27:18,1627585200.0,1.18857,1.18857,1.18857,1.18857
2025-05-13 01:27:18,1627587000.0,1.18864,1.18864,1.18864,1.18864
2025-05-13 01:27:18,1627588800.0,1.18858,1.18858,1.18858,1.18858
2025-05-13 01:27:18,1627590600.0,1.18821,1.18821,1.18821,1.18821
2025-05-13 01:27:18,1627592400.0,1.18846,1.18846,1.18846,1.18846
2025-05-13 01:27:18,1627594200.0,1.18858,1.18858,1.18858,1.18858
2025-05-13 01:27:18,1627596000.0,1.18869,1.18869,1.18869,1.18869
2025-05-13 01:27:19,1627597800.0,1.18903,1.18903,1.18903,1.18903
2025-05-13 01:27:19,1627599600.0,1.18913,1.18913,1.18913,1.18913
2025-05-13 01:27:19,1627601400.0,1.18898,1.18898,1.18898,1.18898
2025-05-13 01:27:19,1627603200.0,1.18879,1.18879,1.18879,1.18879
2025-05-13 01:27:19,1627605000.0,1.18862,1.18862,1.18862,1.18862
2025-05-13 01:27:19,1627606800.0,1.18858,1.18858,1.18858,1.18858
2025-05-13 01:27:20,1627608600.0,1.18867,1.18867,1.18867,1.18867
2025-05-13 01:27:20,1627610400.0,1.18872,1.18872,1.18872,1.18872
2025-05-13 01:27:20,1627612200.0,1.18896,1.18896,1.18896,1.18896
2025-05-13 01:27:21,1627614000.0,1.18907,1.18907,1.18907,1.18907
2025-05-13 01:27:21,1627615800.0,1.18927,1.18927,1.18927,1.18927
2025-05-13 01:27:21,1627617600.0,1.18902,1.18902,1.18902,1.18902
2025-05-13 01:27:21,1627619400.0,1.18872,1.18872,1.18872,1.18872
2025-05-13 01:27:21,1627621200.0,1.18815,1.18815,1.18815,1.18815
2025-05-13 01:27:21,1627623000.0,1.18798,1.18798,1.18798,1.18798
2025-05-13 01:27:21,1627624800.0,1.18824,1.18824,1.18824,1.18824
2025-05-13 01:27:22,1627626600.0,1.18827,1.18827,1.18827,1.18827
2025-05-13 01:27:22,1627628400.0,1.18808,1.18808,1.18808,1.18808
2025-05-13 01:27:22,1627630200.0,1.18809,1.18809,1.18809,1.18809
2025-05-13 01:27:22,1627632000.0,1.18784,1.18784,1.18784,1.18784
2025-05-13 01:27:22,1627633800.0,1.18789,1.18789,1.18789,1.18789
2025-05-13 01:27:22,1627635600.0,1.18785,1.18785,1.18785,1.18785
2025-05-13 01:27:22,1627637400.0,1.18774,1.18774,1.18774,1.18774
2025-05-13 01:27:23,1627639200.0,1.18784,1.18784,1.18784,1.18784
2025-05-13 01:27:23,1627641000.0,1.18766,1.18766,1.18766,1.18766
